division_code,dist_code,sub_dist_code,union_code,mah_code,rmo_1,node_hash,admin_unit_t1,area,total_household,pop_total,pop_in_house,pop_floating,pop_density,admin_unit_t3,rmo_3,num_general_household,household_1person,household_2person,household_3person,household_4person,household_5person,household_6person,household_7person,household_8+person,avg_household_size,admin_unit_t4,rmo_4,all_age_pop,0-4,5-9,10-14,15-19,20-24,25-29,30-49,50-59,60-64,65+
30,48,59,54,384,1,304859543841,*Gandharbapur Katkhal,,428,2211,2211,0,,*Gandharbapur Katkhal,1,427,4.4,8.7,11.5,18.7,19.2,12.6,9.8,15.0,5.2,*Gandharbapur Katkhal,1,2211,17.6,20.2,9.1,5.9,5.9,8.3,21.7,5.2,2.5,3.6
30,48,59,54,602,1,304859546021,*Khaisar,,475,2734,2734,0,,*Khaisar,1,475,2.7,5.5,12.4,16.6,15.8,15.4,10.1,21.5,5.8,*Khaisar,1,2734,19.9,17.9,10.1,6.8,7.3,8.7,18.3,5.7,2.0,3.4
30,48,59,54,602 01,1,30485954602 011,Hasimpur,,99,641,641,0,,Hasimpur,1,99,3.0,2.0,10.1,16.2,14.1,13.1,12.1,29.3,6.5,Hasimpur,1,641,18.7,17.3,8.9,8.0,9.7,8.3,15.9,6.1,2.7,4.5
30,48,59,54,602 02,1,30485954602 021,Khaisar,,376,2093,2093,0,,Khaisar,1,376,2.7,6.4,13.0,16.8,16.2,16.0,9.6,19.4,5.6,Khaisar,1,2093,20.2,18.1,10.5,6.5,6.5,8.8,19.0,5.5,1.9,3.1
30,48,59,54,610,1,304859546101,*Khatkhal,,298,1619,1619,0,,*Khatkhal,1,298,2.3,7.0,12.1,14.1,22.1,15.4,11.1,15.8,5.4,*Khatkhal,1,1619,16.0,19.4,8.6,8.5,9.1,7.7,19.5,4.0,2.8,4.5
30,48,59,54,610 01,1,30485954610 011,Khatkhal,,107,551,551,0,,Khatkhal,1,107,1.9,9.3,14.0,17.8,23.4,11.2,9.3,13.1,5.1,Khatkhal,1,551,13.4,14.7,9.6,10.9,11.8,10.3,17.8,4.0,2.7,4.7
30,48,59,54,610 02,1,30485954610 021,Char Khatkhal,,191,1068,1068,0,,Char Khatkhal,1,191,2.6,5.8,11.0,12.0,21.5,17.8,12.0,17.3,5.6,Char Khatkhal,1,1068,17.3,21.8,8.1,7.2,7.8,6.3,20.3,4.0,2.8,4.4
30,48,59,54,627,1,304859546271,*Khoramara Sahebnagar,,384,2241,2241,0,,*Khoramara Sahebnagar,1,384,3.1,8.3,6.5,14.6,19.0,15.9,12.8,19.8,5.8,*Khoramara Sahebnagar,1,2241,18.8,20.1,10.4,7.3,8.7,8.3,17.0,5.1,1.7,2.6
30,48,59,54,627 01,1,30485954627 011,Khoramara Sahebnagar,,194,1097,1097,0,,Khoramara Sahebnagar,1,194,3.1,7.7,7.7,16.5,19.1,15.5,13.4,17.0,5.7,Khoramara Sahebnagar,1,1097,18.7,19.9,11.0,7.7,8.3,7.7,17.4,6.0,1.3,2.0
30,48,59,54,627 02,1,30485954627 021,Sahebnagar Purbapara,,96,538,538,0,,Sahebnagar Purbapara,1,96,0.0,11.5,5.2,14.6,21.9,15.6,11.5,19.8,5.6,Sahebnagar Purbapara,1,538,20.8,22.5,6.9,6.5,8.2,10.0,14.9,5.4,2.4,2.4
