date,area_in_dhaka_city_bangla,number_of_cases
"May 29, 2020",গেন্ডারিয়া,115
"May 29, 2020",ধানমন্ডি,195
"May 29, 2020",বংশাল,101
"May 29, 2020",বাড্ডা,152
"May 30, 2020",মুগদা,327
"May 30, 2020",কাকরাইল,299
"May 30, 2020",উত্তরা,283
"May 30, 2020",ধানমন্ডি,196
"May 30, 2020",রামপুরা,117
"May 30, 2020",রাজারবাগ,214
"May 30, 2020",বংশাল,102
"May 30, 2020",মোহাম্মদপুর,313
"May 30, 2020",মহাখালী,408
"May 30, 2020",মগবাজার,219
"May 30, 2020",মিরপুর,300
"May 30, 2020",তেজগাঁও,205
"May 30, 2020",মালিবাগ,140
"May 30, 2020",লালবাগ,177
"May 30, 2020",খিলগাঁও,166
"May 30, 2020",বাড্ডা,152
"May 30, 2020",যাত্রাবাড়ী,340
"May 30, 2020",গুলশান,116
"May 30, 2020",গেন্ডারিয়া,115
"May 30, 2020",বাবু বাজার,161
"May 31, 2020",বাড্ডা,167
"May 31, 2020",বাবু বাজার,161
"May 31, 2020",বংশাল,107
"May 31, 2020",উত্তরা,315
"May 31, 2020",ধানমন্ডি,227
"May 31, 2020",রামপুরা,142
"May 31, 2020",রাজারবাগ,215
"May 31, 2020",মুগদা,330
"May 31, 2020",মোহাম্মদপুর,339
"May 31, 2020",মহাখালী,408
"May 31, 2020",মগবাজার,227
"May 31, 2020",মিরপুর,369
"May 31, 2020",তেজগাঁও,212
"May 31, 2020",মালিবাগ,144
"May 31, 2020",লালবাগ,181
"May 31, 2020",খিলগাঁও,188
"May 31, 2020",কাকরাইল,299
"May 31, 2020",যাত্রাবাড়ী,354
"May 31, 2020",গুলশান,130
"May 31, 2020",গেন্ডারিয়া,123
"Jun 2, 2020",বাড্ডা,181
"Jun 2, 2020",বাবু বাজার,161
"Jun 2, 2020",তেজগাঁও,226
"Jun 2, 2020",রামপুরা,159
"Jun 2, 2020",উত্তরা,359
"Jun 2, 2020",রাজারবাগ,217
"Jun 2, 2020",মুগদা,411
"Jun 2, 2020",মোহাম্মদপুর,369
"Jun 2, 2020",মহাখালী,435
"Jun 2, 2020",মগবাজার,239
"Jun 2, 2020",মিরপুর,475
"Jun 2, 2020",মালিবাগ,152
"Jun 2, 2020",লালবাগ,194
"Jun 2, 2020",খিলগাঁও,199
"Jun 2, 2020",কাকরাইল,299
"Jun 2, 2020",যাত্রাবাড়ী,373
"Jun 2, 2020",গুলশান,149
"Jun 2, 2020",গেন্ডারিয়া,132
"Jun 2, 2020",ধানমন্ডি,251
"Jun 2, 2020",বংশাল,109
"Jun 3, 2020",বাড্ডা,189
"Jun 3, 2020",বাবু বাজার,161
"Jun 3, 2020",বংশাল,109
"Jun 3, 2020",উত্তরা,411
"Jun 3, 2020",মিরপুর,541
"Jun 3, 2020",ধানমন্ডি,276
"Jun 3, 2020",রামপুরা,185
"Jun 3, 2020",রাজারবাগ,221
"Jun 3, 2020",মুগদা,420
"Jun 3, 2020",মোহাম্মদপুর,369
"Jun 3, 2020",মহাখালী,444
"Jun 3, 2020",মগবাজার,244
"Jun 3, 2020",তেজগাঁও,236
"Jun 3, 2020",মালিবাগ,157
"Jun 3, 2020",লালবাগ,203
"Jun 3, 2020",খিলগাঁও,210
"Jun 3, 2020",কাকরাইল,299
"Jun 3, 2020",যাত্রাবাড়ী,377
"Jun 3, 2020",গুলশান,155
"Jun 3, 2020",গেন্ডারিয়া,137
"Jun 4, 2020",উত্তরা,433
"Jun 4, 2020",রামপুরা,197
"Jun 4, 2020",রাজারবাগ,221
"Jun 4, 2020",মুগদা,428
"Jun 4, 2020",মহাখালী,457
"Jun 4, 2020",মগবাজার,255
"Jun 4, 2020",মিরপুর,602
"Jun 4, 2020",মোহাম্মদপুর,394
"Jun 4, 2020",মালিবাগ,164
"Jun 4, 2020",লালবাগ,206
"Jun 4, 2020",খিলগাঁও,219
"Jun 4, 2020",কাকরাইল,300
"Jun 4, 2020",তেজগাঁও,251
"Jun 4, 2020",যাত্রাবাড়ী,387
"Jun 4, 2020",গুলশান,163
"Jun 4, 2020",গেন্ডারিয়া,142
"Jun 4, 2020",ধানমন্ডি,294
"Jun 4, 2020",বংশাল,109
"Jun 4, 2020",বাড্ডা,195
"Jun 4, 2020",বাবু বাজার,162
