date,district_city,cases
"May 24, 2020",জামালপুর,193
"May 24, 2020",সিলেট,195
"May 24, 2020",বগুড়া,196
"May 28, 2020",বগুড়া,196
"May 29, 2020",বগুড়া,196
"May 26, 2020",বগুড়া,196
"May 27, 2020",বগুড়া,196
"May 25, 2020",বগুড়া,196
"May 20, 2020",নোয়াখালী,199
"May 19, 2020",কক্সবাজার,199
"May 23, 2020",নেত্রকোনা,201
"May 10, 2020",কিশোরগঞ্জ,202
"May 9, 2020",কিশোরগঞ্জ,202
"May 8, 2020",কিশোরগঞ্জ,202
"May 8, 2020",ময়মনসিংহ,204
"Jun 1, 2020",জামালপুর,205
"May 11, 2020",কিশোরগঞ্জ,205
"May 12, 2020",কিশোরগঞ্জ,205
"May 31, 2020",জামালপুর,205
"May 26, 2020",নেত্রকোনা,206
"May 25, 2020",নেত্রকোনা,206
"May 24, 2020",নেত্রকোনা,206
"May 16, 2020",কিশোরগঞ্জ,206
"May 15, 2020",কিশোরগঞ্জ,206
"May 14, 2020",কিশোরগঞ্জ,206
"May 30, 2020",জামালপুর,206
"May 29, 2020",জামালপুর,206
"May 28, 2020",জামালপুর,206
"May 27, 2020",জামালপুর,206
"May 26, 2020",জামালপুর,206
"May 21, 2020",নোয়াখালী,207
"May 19, 2020",কিশোরগঞ্জ,207
"May 17, 2020",কিশোরগঞ্জ,207
"May 9, 2020",চট্টগ্রাম,207
"May 20, 2020",কিশোরগঞ্জ,209
"Jun 2, 2020",জামালপুর,209
"May 27, 2020",নেত্রকোনা,210
"May 8, 2020",মুন্সিগঞ্জ,210
"May 28, 2020",নেত্রকোনা,211
"May 21, 2020",কিশোরগঞ্জ,211
"May 29, 2020",নেত্রকোনা,211
"May 30, 2020",নেত্রকোনা,211
"May 9, 2020",মুন্সিগঞ্জ,212
"May 9, 2020",ময়মনসিংহ,212
"May 31, 2020",নেত্রকোনা,212
"Jun 1, 2020",নেত্রকোনা,212
"May 22, 2020",কিশোরগঞ্জ,212
"May 16, 2020",রংপুর,213
"May 26, 2020",সিলেট,213
"May 25, 2020",সিলেট,213
"May 10, 2020",মুন্সিগঞ্জ,216
"Jun 1, 2020",বগুড়া,216
"May 11, 2020",মুন্সিগঞ্জ,216
"May 31, 2020",বগুড়া,216
"May 12, 2020",মুন্সিগঞ্জ,217
